session_id,player_id,player_index,source_label,split,engagement_index,label_cheat,cheat_probability_mean,cheat_probability_max,cheat_probability_std,emb_z_mean,emb_z_max,encoder_signal_mean,encoder_signal_max,automation_signature_mean,automation_signature_max,movement_signature_mean,movement_signature_max,target_error_drop_mean,target_error_drop_max,error_speed_ratio_drop_mean,error_speed_ratio_drop_max,error_improvement_ratio_rise_mean,error_improvement_ratio_rise_max,tight_on_target_rise_mean,tight_on_target_rise_max,lock_rise_mean,lock_rise_max,lock_strength_rise_mean,lock_strength_rise_max,fire_on_target_shift_mean,fire_on_target_shift_max,fire_coupling_shift_mean,fire_coupling_shift_max,fire_alignment_strength_rise_mean,fire_alignment_strength_rise_max,fire_stability_synergy_rise_mean,fire_stability_synergy_rise_max,snap_rise_mean,snap_rise_max,snap_power_rise_mean,snap_power_rise_max,aim_efficiency_rise_mean,aim_efficiency_rise_max,straightness_rise_mean,straightness_rise_max,settling_ratio_rise_mean,settling_ratio_rise_max,entropy_drop_mean,entropy_drop_max,micro_correction_drop_mean,micro_correction_drop_max,micro_to_speed_drop_mean,micro_to_speed_drop_max,curvature_drop_mean,curvature_drop_max,flick_magnitude_shift_mean,flick_magnitude_shift_max
C00028_E10,C00028,28,cheater,train,10,1,0.6309254413077573,0.8420482935850461,0.1460726611994909,0.072122700271569,0.8348465959277908,1.6126945075436019,2.119528756695142,1.8174768005588944,4.690872398861109,1.474195127300963,2.18768614905823,0.14477392387341972,0.7243263792921139,0.21827359091090964,0.6360489721434648,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09450615212965573,0.4961572986806926,0.1576016149918119,0.8274084787070125,0.0,0.0,0.0,0.0,0.366562869719174,4.690872398861109,0.06688996174013545,0.8800545617028404,0.05601269089280603,0.24648358739206502,0.9300044977765015,1.3207068267314235,0.34506844029457423,2.0416385252601317,1.0897354529290362,2.18768614905823,0.9833058914508817,1.4203565818941406,0.8533590959172382,1.1966331941081414,0.6896743826567651,1.027795960421368,0.03448118256423662,0.36205241692448453
C00028_E11,C00028,28,cheater,train,11,1,0.46767191346496967,0.8344495037660145,0.21725463238409864,0.0817853514311357,0.4284560712111833,0.7533304627250309,2.1183167500137077,1.6880649529077587,4.205529895693419,1.2528426148183367,2.56239370523432,0.6133142238449252,0.7650093516244851,0.4987429907199572,0.6858411827553347,0.0,0.0,0.29938986056761424,1.6521167155130723,0.0,0.0,0.7906002470572588,4.205529895693419,0.09450615212965573,0.4961572986806926,0.363738800534444,1.909628702805831,0.22459880992003242,1.872123391777634,0.0511953992978897,0.4434354041759784,0.0,0.0,0.0,0.0,0.06065061557503593,0.2398519743844107,0.622347934718858,1.250674350330448,0.5513257611717558,2.56239370523432,0.5239997850195144,1.5390233925794738,0.24706626153545502,1.0155457657912654,0.10441743539676054,0.9534925301763961,0.06889115006712546,0.42163346148615244,0.0,0.0
C00028_E12,C00028,28,cheater,train,12,1,0.5574528479026704,0.8045235042030074,0.19885177223366932,0.1473775885952558,0.8545344661141078,1.1614141514249234,2.119377901075774,1.8017077902645129,4.20552989569342,1.252968273687919,2.5633621204991988,0.622947858931616,0.7613269416461985,0.5109886620653836,0.6827804341022429,0.0,0.0,0.29938986056761424,1.6521167155130723,0.0,0.0,0.790600247057259,4.20552989569342,0.09450615212965573,0.4961572986806926,0.40516870189109255,1.909628702805831,0.2458586151089363,1.5723475757385643,0.05434050258398432,0.3256636129026694,0.0,0.0,0.0,0.0,0.05191770176874205,0.23981500188883137,0.6172885552753357,1.2566424296107104,0.5867149961514949,2.5633621204991988,0.49321561126813557,1.5731291372662486,0.2341529579603379,0.9904034175249883,0.09879202826674227,0.7142589161839964,0.09303466822215122,1.027324393559771,0.0,0.0
C00028_E13,C00028,28,cheater,train,13,1,0.5563773349954227,0.8117897294346406,0.20826887719320258,0.05964952674551644,0.5077854548045933,1.154204053089755,2.1192426971431835,1.7943503861233234,4.20552989569342,1.2607369977590182,2.5662999793180536,0.6408849684904825,0.7643693072411925,0.5323504137812978,0.6879595445873816,0.0,0.0,0.29938986056761424,1.6521167155130723,0.0,0.0,0.790600247057259,4.20552989569342,0.09450615212965573,0.4961572986806926,0.48113786105296164,1.909628702805831,0.2816315362600861,1.5485530569509576,0.05836039291337249,0.2787093239304688,0.0,0.0,0.0,0.0,0.04710176088208259,0.23894842717352932,0.6317354481765627,1.2580604115837832,0.6541707236570703,2.5662999793180536,0.46641578486901475,1.5648606312235254,0.21466294714963738,1.02657162277764,0.09908941532644182,0.956353571039131,0.09424895077102569,1.027442178711284,0.0,0.0
C00028_E14,C00028,28,cheater,train,14,1,0.5951426374280165,0.8207353860313242,0.2168090284176671,0.056412661273074385,0.5057423374122592,1.3144457596298997,2.119225713397957,1.9314014970495266,4.20552989569342,1.3823591727893156,2.5662999793180536,0.6381657842611291,0.7643693072411925,0.5524422465873906,0.6879595445873816,0.0,0.0,0.29938986056761424,1.6521167155130723,0.0,0.0,0.790600247057259,4.20552989569342,0.09450615212965573,0.4961572986806926,0.5639976637662587,1.909628702805831,0.3694281400256086,1.5485530569509576,0.07736280397304736,0.2787093239304688,0.0,0.0,0.0,0.0,0.027845827270585384,0.19993554332030397,0.7221661123641822,1.2580604115837832,0.8353096198412476,2.5662999793180536,0.5022035384135296,1.5648606312235254,0.1943390300366654,1.02657162277764,0.10414346307112626,0.956353571039131,0.06900374113227822,1.027442178711284,0.0,0.0
C00028_E15,C00028,28,cheater,train,15,1,0.6315378438039597,0.8821243404124871,0.18501290437160342,0.08905364728211276,0.7009910878311435,1.136536556468035,2.1156697833679097,1.493128212178385,2.1156697833679097,1.3709517256407218,4.767334886412468,0.4206719109744503,0.7478138252452737,0.4061876323924482,0.6588495991183227,0.0,0.0,0.06555022334437159,0.336519045082764,0.2481592449534329,1.3028360360055227,0.203121046269284,1.066385492913741,0.24830166496863673,1.407340122326662,0.38196756875426147,0.9439983199588744,0.2208327478781596,1.3331457917438414,0.0,0.0,0.26690145635046003,1.5034739326207724,0.01355780544868275,0.09490463814077923,0.15007891638308588,0.7220947288145623,0.17089821211859776,1.0715401089406649,0.8523797747597938,4.767334886412468,0.497298247269763,1.5373679165320127,0.21178884042452034,1.203086067699157,0.32994800916484945,1.1030124487061712,0.20339435774172826,1.0278842687613958,0.021300427105589683,0.11182724230434583
C00028_E16,C00028,28,cheater,train,16,1,0.630320186655811,0.8703980871891547,0.18097664289204077,0.03829773391098719,0.33824966941363077,1.117775670833763,2.1181580685509505,1.477379291611299,2.1181580685509505,1.33636404006918,4.691574663356505,0.42944989349293555,0.746440238266133,0.4120962578435596,0.6575991642813115,0.0,0.0,0.06555022334437159,0.336519045082764,0.2481592449534329,1.3028360360055227,0.203121046269284,1.066385492913741,0.2680647852050785,1.407340122326662,0.35637197399732545,0.9439983199588744,0.22748006080090052,1.3331457917438414,0.0,0.0,0.24742692553505863,1.5034739326207724,0.011548562986889308,0.09490463814077923,0.13924383971788726,0.7214202361980043,0.1526100356024779,1.0860282326110584,0.8548504410444047,4.691574663356505,0.48545874682831663,1.4628851411339114,0.21016876410347815,1.0760831983356214,0.32542793178582513,1.0955101881646039,0.2033889668937015,1.0278861765556278,0.021300427105589683,0.11182724230434583
C00028_E17,C00028,28,cheater,train,17,1,0.5926568195884725,0.8869214584511153,0.18937639830867087,0.04471476505667381,0.43850605044907937,0.9563606042006002,2.1179256243515714,1.4394340274257345,2.1179256243515714,1.3230797177132174,4.766070324101555,0.4391154257017841,0.7457285130356384,0.41817599262529875,0.6438440687263483,0.0,0.0,0.05025118571901968,0.336519045082764,0.23844255816464774,1.3028360360055227,0.1926679798611296,1.066385492913741,0.24830166496863673,1.407340122326662,0.38939634715407445,0.9439983199588744,0.21545121689436203,1.3331457917438414,0.0,0.0,0.26690145635046003,1.5034739326207724,0.01355780544868275,0.09490463814077923,0.14527633330715645,0.7217951432289591,0.15246137058153778,1.1050193272510493,0.8572473680967392,4.766070324101555,0.4809774035556771,1.4963656687071587,0.21269333744964533,1.186367607185168,0.329833392283295,1.0792150867581412,0.20898422319856433,1.0278793764825374,0.021300427105589683,0.11182724230434583
C00028_E18,C00028,28,cheater,train,18,1,0.6921057881004433,0.8289240766470297,0.15673419905333202,0.23436898180303756,0.8880506042611638,1.6874953556819594,2.1195487375718796,2.374489324067434,8.696802711494417,1.0743267418253908,2.3483895719966172,0.229508100605252,0.7908935603664449,0.3759785878949088,0.6929023133662036,0.0,0.0,0.40902299977014,2.3099155507282267,0.0,0.0,0.08879946691438935,0.4661972013005441,1.005688975775625,8.696802711494417,0.27271384776081414,1.4317477007442743,0.48065227388808246,3.950879035814255,0.0032583595731577437,0.06842555103631262,0.16495128369003909,0.8659942393727051,0.0,0.0,0.0,0.0,0.3200505374275452,1.3286602166938233,0.06677334708413482,0.4500470989999875,0.591932379199544,2.3483895719966172,0.3395547863208545,1.1152900742747467,0.7611364538758149,1.2848749496700926,0.4901873889383855,1.0278564418154554,0.0,0.0
C00028_E19,C00028,28,cheater,train,19,1,0.6358774602700391,0.830955120568907,0.2097702499328181,0.17546355743826456,0.9092984337370311,1.4957190495117176,2.119548071542655,2.7104492372800206,7.785619887848448,1.0895340239525457,2.381671498723464,0.29507919015757583,0.7903736784712213,0.4342383349915592,0.6937363439266231,0.0,0.0,0.4093858391737203,2.3099155507282267,0.0,0.0,0.08879946691438935,0.4661972013005441,1.4434489762601541,7.785619887848448,0.3647708685242019,1.4317477007442743,0.6881947782060039,3.602901288622484,0.010554095340594191,0.11826529211956092,0.14547675287463768,0.8659942393727051,0.0,0.0,0.0,0.0,0.3064014443183368,1.3288722036005363,0.09100762169453308,0.4500470989999875,0.5605301353467167,2.381671498723464,0.33020796443709904,1.0710804674903436,0.7942346419023971,1.2941505997994982,0.4807272795252269,1.0279043536913899,0.0,0.0
