session_id,player_id,player_index,source_label,split,engagement_index,tick,t,view_yaw,view_pitch,replay_x,replay_y,crosshair_to_victim_yaw,crosshair_to_victim_pitch,yaw_delta,pitch_delta,angular_speed,angular_speed_sq,angular_acceleration,angular_jerk,target_error,target_error_sq,target_error_delta,target_error_improvement,error_speed_ratio,error_improvement_ratio,on_target_soft,on_target_tight,on_target_dwell_ms,lock_indicator,lock_dwell_ms,lock_strength,heading_change,curvature,view_straightness,stability_score,settling_ratio,yaw_reversal,pitch_reversal,direction_entropy_short,micro_correction_score,micro_to_speed_ratio,angular_speed_autocorr_short,fire_input,fire_on_target,time_since_fire_ms,fire_motion_coupling,fire_alignment_strength,fire_stability_synergy,last_fire_interval_ms,last_stabilization_to_fire_ms,flick_event,flick_magnitude,time_since_flick_ms,snap_indicator,snap_power,aim_tension,aim_efficiency,label_cheat
L08205_E06,L08205,8205,legit,test,6,29,-4.09375,0.0,0.0,0.0,0.1170000322163105,-6.252999782562256,0.44699999690055847,0.0,0.0,0.0,0.0,0.0,0.0,6.268956474402476,39.29981527795272,0.06989153735850095,0.0,25.075825897609903,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,10937.5,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,10937.5,0.0,0.0,0.0,0.0,0
L08205_E06,L08205,8205,legit,test,6,30,-4.0625,0.0,0.0,0.0,0.1170000322163105,-6.35099983215332,0.4490000009536743,0.0,0.0,0.0,0.0,0.0,0.0,6.366851644955134,40.536799868867895,0.0978951705526585,0.0,25.467406579820537,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,10968.75,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,10968.75,0.0,0.0,0.0,0.0,0
L08205_E06,L08205,8205,legit,test,6,31,-4.03125,0.0,0.0,0.0,0.1170000322163105,-6.440999984741211,0.44999998807907104,0.0,0.0,0.0,0.0,0.0,0.0,6.456700457099387,41.68898079270744,0.08984881214425311,0.0,25.82680182839755,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,11000.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,11000.0,0.0,0.0,0.0,0.0,0
L08205_E06,L08205,8205,legit,test,6,32,-4.0,0.0,0.0,0.0,0.1170000322163105,-6.539000034332275,0.4519999921321869,0.0,0.0,0.0,0.0,0.0,0.0,6.554603377923411,42.96282544188499,0.09790292082402363,0.0,26.218413511693644,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.5,0.0,0.0,11031.25,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,11031.25,0.0,0.0,0.0,0.0,0
L08205_E06,L08205,8205,legit,test,6,33,-3.96875,-0.054999999701976776,-0.28600001335144043,-0.054999999701976776,-0.16899998113512993,-6.550000190734863,0.7390000224113464,-0.054999999701976776,-0.28600001335144043,0.29124046354214167,0.08482100760424155,0.29124046354214167,0.29124046354214167,6.591556988432301,43.448623531750705,0.03695361050889012,0.0,12.178610862340069,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7607845713332735,6.045810221279547,1.0,0.0,0.0,0.0,0.0,0.1237441088802919,0.5117728705992325,1.3080775591712483,0.5,0.0,0.0,11062.5,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,11062.5,0.0,0.0,1.9197281127754666,0.0,0
L08205_E06,L08205,8205,legit,test,6,34,-3.9375,-0.054999999701976776,-0.28600001335144043,-0.054999999701976776,-0.16899998113512993,-6.605999946594238,0.7400000095367432,0.0,0.0,0.0,0.0,-0.29124046354214167,-0.5824809270842833,6.647317903374072,44.186835308517466,0.0557609149417706,0.0,26.589271613496287,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.7607845713332735,17607.845713332736,1.0,0.0,0.0,0.0,0.0,0.1237441088802919,0.6934612711476925,6.934612711476925,0.45,0.0,0.0,11093.75,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,11093.75,0.0,0.0,0.0,0.0,0
L08205_E06,L08205,8205,legit,test,6,35,-3.90625,-0.054999999701976776,-0.28600001335144043,-0.054999999701976776,-0.16899998113512993,-6.645999908447266,0.7409999966621399,0.0,0.0,0.0,0.0,0.0,0.29124046354214167,6.687181452460696,44.71839577813435,0.039863549086624595,0.0,26.748725809842785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1237441088802919,0.6934612711476925,6.934612711476925,0.45,0.0,0.0,11125.0,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,11125.0,0.0,0.0,0.0,0.0,0
L08205_E06,L08205,8205,legit,test,6,36,-3.875,-0.054999999701976776,-0.28600001335144043,-0.054999999701976776,-0.16899998113512993,-6.684000015258789,0.7429999709129333,0.0,0.0,0.0,0.0,0.0,0.0,6.725169526544004,45.2279051607561,0.03798807408330784,0.0,26.900678106176017,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1237441088802919,0.6934612711476925,6.934612711476925,0.45,0.0,0.0,11156.25,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,11156.25,0.0,0.0,0.0,0.0,0
L08205_E06,L08205,8205,legit,test,6,37,-3.84375,-0.054999999701976776,-0.28600001335144043,-0.054999999701976776,-0.16899998113512993,-6.677999973297119,0.7429999709129333,0.0,0.0,0.0,0.0,0.0,0.0,6.719206247774579,45.14773260013294,-0.005963278769424818,0.005963278769424818,26.876824991098317,0.0008873654393270413,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1237441088802919,0.6934612711476925,6.934612711476925,0.45,0.0,0.0,11187.5,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,11187.5,0.0,0.0,0.0,5.963278769424818,0
L08205_E06,L08205,8205,legit,test,6,38,-3.8125,-0.054999999701976776,-0.28600001335144043,-0.054999999701976776,-0.16899998113512993,-6.6479997634887695,0.7429999709129333,0.0,0.0,0.0,0.0,0.0,0.0,6.6893908401380875,44.747949812123345,-0.02981540763649182,0.02981540763649182,26.75756336055235,0.004456452298364745,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.1237441088802919,0.6934612711476925,6.934612711476925,0.45,0.0,0.0,11218.75,0.0,0.0,0.0,1000.0,1000.0,0.0,0.0,11218.75,0.0,0.0,0.0,29.81540763649182,0
