session_id,player_id,player_index,source_label,split,engagement_index,tick,t,view_yaw,view_pitch,replay_x,replay_y,crosshair_to_victim_yaw,crosshair_to_victim_pitch,yaw_delta,pitch_delta,angular_speed,angular_acceleration,angular_jerk,target_error,target_error_delta,target_error_improvement,on_target_soft,on_target_tight,on_target_dwell_ms,lock_indicator,lock_dwell_ms,heading_change,curvature,view_straightness,stability_score,yaw_reversal,pitch_reversal,direction_entropy_short,micro_correction_score,angular_speed_autocorr_short,fire_input,fire_on_target,time_since_fire_ms,fire_motion_coupling,last_fire_interval_ms,last_stabilization_to_fire_ms,flick_event,flick_magnitude,time_since_flick_ms,snap_indicator,aim_efficiency,label_cheat
C00798_E19,C00798,798,cheater,test,19,103,-1.78125,-20.348002642393112,0.6040000915527344,-0.0691250474761448,-0.003025647181738052,-2.7019999027252197,-3.430999994277954,-0.5490000247955322,-1.7079999446868896,1.7940637776500348,0.04923714917483668,0.19870983596653158,4.3672147228024425,-2.030509370529643,2.030509370529643,0.0,0.0,0.0,0.0,0.0,0.1808469623330291,0.10080297288534111,0.8818989768003744,0.0,0.0,0.0,0.6413914507668138,1.224589025829479,0.8273792380889067,0.0,0.0,13250.0,0.0,1000.0,1000.0,0.0,3.6428633118462055,562.5,0.0,1.1311628009049552,1
C00798_E19,C00798,798,cheater,test,19,104,-1.75,-20.40300264209509,1.1920928955078125e-07,-0.06942761224350297,-0.00634835831095038,-2.440000057220459,-2.7279999256134033,-0.054999999701976776,-0.6039999723434448,0.6064989419266117,-1.187564835723423,-1.2368019848982597,3.659997796909525,-0.7072169258929173,0.7072169258929173,0.0,0.0,0.0,0.0,0.0,0.22018914745476303,0.36304951622060144,0.8620595143143288,0.0,0.0,0.0,0.6413914507668138,1.0941784530343255,0.736531158388038,0.0,0.0,13281.25,0.0,1000.0,1000.0,0.0,0.42892631726664526,593.75,0.0,1.1641451154631837,1
C00798_E19,C00798,798,cheater,test,19,105,-1.71875,-20.40300264209509,1.1920928955078125e-07,-0.06942761224350297,-0.00634835831095038,-2.203000068664551,-2.7290000915527344,0.0,0.0,0.0,-0.6064989419266117,0.5810658937968113,3.507228364710637,-0.1527694321988884,0.1527694321988884,0.0,0.0,0.0,0.0,0.0,1.6616054772316202,16616.0547723162,0.8620595143143288,0.0,0.0,0.0,0.6413914507668138,1.1586357532260565,0.6940128673563757,0.0,0.0,13312.5,0.0,1000.0,1000.0,0.0,0.0,625.0,0.0,152.76943219888838,1
C00798_E19,C00798,798,cheater,test,19,106,-1.6875,-20.348002642393112,-0.3849998712539673,-0.0691250474761448,-0.008466311641470574,-1.8480000495910645,-2.3570001125335693,0.054999999701976776,-0.38499999046325684,0.38890872016956024,0.38890872016956024,0.9954076620961719,2.99508826477148,-0.512140099939157,0.512140099939157,0.0,0.0,0.0,0.0,0.0,1.4288992440268846,3.674124980802434,0.8392995488357978,0.0,0.0,0.0,0.718656034048636,1.1526445066335105,0.7619577918587663,0.0,0.0,13343.75,0.0,1000.0,1000.0,0.0,0.19917575081484823,656.25,0.0,1.3134871662178824,1
C00798_E19,C00798,798,cheater,test,19,107,-1.65625,-20.348002642393112,-0.49499987065792084,-0.0691250474761448,-0.009071441176186905,-1.468000054359436,-2.25600004196167,0.0,-0.10999999940395355,0.10999999940395355,-0.2789087207656067,-0.6678174409351669,2.691572096179176,-0.3035161685923038,0.3035161685923038,0.0,0.0,0.0,0.0,0.0,0.14189699185892057,1.2899726602527655,0.828911684241956,0.13149857839414766,0.0,0.0,0.736629546004909,0.7279409424071144,0.8794401701388143,0.0,0.0,13375.0,0.0,1000.0,1000.0,0.0,0.03338677836424368,687.5,0.0,2.734379911911002,1
C00798_E19,C00798,798,cheater,test,19,108,-1.625,-20.348002642393112,-0.49499987065792084,-0.0691250474761448,-0.009071441176186905,-1.1180000305175781,-2.263000011444092,0.0,0.0,0.0,-0.10999999940395355,0.16890872136165314,2.52410243849834,-0.1674696576808361,0.1674696576808361,0.0,0.0,0.0,0.0,0.0,1.5707962358858052,15707.96235885805,0.8292430093670927,0.10130279141684721,0.0,0.0,0.736629546004909,0.8033019536281597,0.8660616759986955,0.0,0.0,13406.25,0.0,1000.0,1000.0,0.0,0.0,718.75,0.0,167.4696576808361,1
C00798_E19,C00798,798,cheater,test,19,109,-1.59375,-20.348002642393112,-0.6049998700618744,-0.0691250474761448,-0.009676570710903238,-0.7509999871253967,-2.1040000915527344,0.0,-0.10999999940395355,0.10999999940395355,0.10999999940395355,0.2199999988079071,2.2340137344958872,-0.2900887040024527,0.2900887040024527,0.0,0.0,0.0,0.0,0.0,1.5707962358858052,14.279965858157528,0.8253780780081023,0.11101484927516801,0.0,0.0,0.7569808072495124,0.7977027785752347,0.9223329508911517,0.0,0.0,13437.5,0.0,1000.0,1000.0,0.0,0.031909757267363455,750.0,0.0,2.6134117618033104,1
C00798_E19,C00798,798,cheater,test,19,110,-1.5625,-20.40300264209509,-0.6599998697638512,-0.06942761224350297,-0.009979135478261403,-0.3070000112056732,-2.056999921798706,-0.054999999701976776,-0.054999999701976776,0.07778174550905174,-0.03221825389490181,-0.14221825329885535,2.0797830860837787,-0.15423064841210854,0.15423064841210854,0.0,0.0,0.0,0.0,0.0,0.78539816339744,10.097461277801234,0.8393070830133349,0.13821411270933395,0.0,0.0,0.7569808072495124,0.7614677634607007,0.9414660318610452,0.0,0.0,13468.75,0.0,1000.0,1000.0,0.0,0.011996329044486663,781.25,0.0,1.9576952429213184,1
C00798_E19,C00798,798,cheater,test,19,111,-1.53125,-20.57300264388323,-0.6049998700618744,-0.07036281244842346,-0.009676570710903238,0.2720000147819519,-2.119999885559082,-0.17000000178813934,0.054999999701976776,0.17867568546163415,0.1008939399525824,0.1331121938474842,2.137377721136791,0.05759463505301232,0.0,0.0,0.0,0.0,0.0,0.0,1.0982994947472584,6.146888379969803,0.8770362671282499,0.15666359262496563,0.0,1.0,0.7569808072495124,0.7294645221037035,0.9364331640454122,0.0,0.0,13500.0,0.0,1000.0,1000.0,0.0,0.0,812.5,0.0,0.0,1
C00798_E19,C00798,798,cheater,test,19,112,-1.5,-20.57300264388323,-0.6049998700618744,-0.07036281244842346,-0.009676570710903238,0.6209999918937683,-2.125999927520752,0.0,0.0,0.0,-0.17867568546163415,-0.27956962541421654,2.2148401029759017,0.0774623818391107,0.0,0.0,0.0,0.0,0.0,0.0,2.828691413149083,28286.91413149083,0.9445542069427496,0.06222838736757553,0.0,0.0,0.7569808072495123,0.897671537689345,0.9212326930432346,0.0,0.0,13531.25,0.0,1000.0,1000.0,0.0,0.0,843.75,0.0,0.0,1
